0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
3.0,2.5,1920.0,4534.0,2.0,0.0,0.0,3.0,8.0,1920.0,0.0,1986.0,0.0,47.7144,-122.204,1380.0,5100.0
4.0,2.5,2620.0,8331.0,2.0,0.0,0.0,3.0,9.0,2620.0,0.0,1991.0,0.0,47.4357,-122.159,2760.0,8174.0
3.0,2.5,1590.0,4094.0,2.0,0.0,0.0,3.0,7.0,1590.0,0.0,1991.0,0.0,47.61,-122.293,1940.0,3924.0
5.0,2.75,2540.0,5022.0,1.0,0.0,0.0,4.0,8.0,1540.0,1000.0,1955.0,0.0,47.5593,-122.3,2510.0,5182.0
4.0,2.5,3830.0,11972.0,1.0,1.0,4.0,3.0,11.0,2370.0,1460.0,1981.0,0.0,47.7404,-122.284,3080.0,12297.0
2.0,2.0,1170.0,1890.0,1.5,0.0,1.0,4.0,8.0,1170.0,0.0,1927.0,0.0,47.6402,-122.371,2160.0,4000.0
3.0,1.5,1490.0,9630.0,1.0,0.0,0.0,4.0,8.0,1490.0,0.0,1959.0,0.0,47.7623,-122.256,1960.0,10469.0
3.0,2.5,1540.0,1326.0,3.0,0.0,0.0,3.0,8.0,1390.0,150.0,1995.0,0.0,47.6457,-122.374,1680.0,1592.0
2.0,1.75,1810.0,4220.0,2.0,0.0,0.0,3.0,8.0,1810.0,0.0,2004.0,0.0,47.7177,-122.034,1350.0,4479.0
3.0,2.25,2220.0,10530.0,1.0,0.0,0.0,4.0,8.0,1700.0,520.0,1974.0,0.0,47.6383,-122.098,2500.0,10014.0
2.0,1.0,910.0,9612.0,1.0,0.0,0.0,4.0,7.0,910.0,0.0,1981.0,0.0,47.4297,-122.152,1410.0,9611.0
4.0,2.5,2540.0,6491.0,2.0,0.0,0.0,3.0,8.0,2540.0,0.0,1997.0,0.0,47.6363,-122.117,1990.0,8447.0
4.0,1.5,1840.0,4337.0,2.0,0.0,0.0,4.0,8.0,1840.0,0.0,1917.0,0.0,47.6312,-122.307,2250.0,4337.0
4.0,2.5,3000.0,9460.0,2.0,0.0,0.0,3.0,9.0,3000.0,0.0,2001.0,0.0,47.3959,-122.211,3000.0,8450.0
5.0,3.0,2930.0,5500.0,1.0,0.0,0.0,3.0,7.0,1750.0,1180.0,1951.0,0.0,47.5572,-122.281,1400.0,5500.0
4.0,2.0,2190.0,3622.0,1.5,0.0,0.0,5.0,8.0,1990.0,200.0,1925.0,0.0,47.6887,-122.312,1450.0,3082.0
4.0,2.75,3220.0,9825.0,2.0,0.0,0.0,3.0,8.0,3220.0,0.0,2012.0,0.0,47.4863,-122.143,2820.0,8566.0
4.0,2.25,2040.0,14383.0,1.0,0.0,0.0,4.0,8.0,1270.0,770.0,1977.0,0.0,47.3849,-122.163,2030.0,11500.0
3.0,2.5,1350.0,2053.0,3.0,0.0,0.0,3.0,8.0,1350.0,0.0,2005.0,0.0,47.6758,-122.386,1350.0,4150.0
3.0,1.0,1220.0,3000.0,1.5,0.0,0.0,3.0,6.0,1220.0,0.0,1901.0,0.0,47.6506,-122.346,1350.0,3000.0
